log_file,label,total_duration,time_until_first_answer,time_between_last_answer_and_submit,mean_time_per_question,std_dev_time_per_question,median_time_per_question,min_time_per_question,max_time_per_question,num_tab_switches,num_answer_changes,num_revisits,num_questions_attempted,accuracy,mean_time_z_score,min_time_z_score,max_time_z_score,std_dev_time_z_score,accuracy_deviation,tab_switch_deviation,answer_change_deviation,proportion_questions_fast,proportion_questions_correct_and_fast,proportion_questions_with_tab_switch,answer_change_rate
cheat_various_cheater_tab_switcher_0359.json,1,2288.113,69.851,1.837,76.2704,17.4392,74.349,50.094,113.404,21,0,1,30,0.8,-0.0691,-1.0109,1.0152,0.5441,0.0195,18.314,-3.414,0.0,0.0,0.7,0.0
normal_detailed_overconfident_0235.json,0,1960.89,25.751,1.872,65.363,28.9317,60.024,27.567,126.438,0,0,1,30,0.6,-0.6405,-1.6227,0.3187,0.5203,-0.1805,-2.686,-3.414,0.0667,0.0667,0.0,0.0
normal_detailed_average_0398.json,0,3317.905,77.774,1.81,110.5968,49.7964,96.947,39.537,210.115,0,5,1,30,0.7,0.666,-0.7796,2.7594,0.7773,-0.0805,-2.686,1.586,0.0,0.0,0.0,0.1667
normal_detailed_slow_careful_0213.json,0,3513.05,63.27,0.0,125.4661,65.1473,116.5755,0.0,257.023,0,8,2,28,0.8148,1.2711,-1.9067,2.8452,0.9806,0.0283,-2.499,4.799,0.0357,0.0,0.0,0.2857
cheat_various_cheater_smart_0024.json,1,1990.571,37.492,1.079,66.3524,21.6125,68.721,21.266,101.068,4,0,1,30,0.9667,-0.498,-1.8203,0.4316,0.4833,0.1862,1.314,-3.414,0.0333,0.0333,0.1333,0.0
normal_detailed_struggler_0199.json,0,3035.517,53.589,2.477,121.4207,95.0729,89.927,25.616,362.218,0,14,3,25,0.32,0.6552,-1.8378,3.6572,1.4642,-0.4646,-2.238,11.156,0.08,0.04,0.0,0.56
cheat_various_cheater_tab_switcher_0135.json,1,2082.937,56.23,1.988,69.4312,15.2867,71.1685,33.782,92.726,15,1,1,30,1.0,-0.2365,-1.5856,0.9804,0.5445,0.2195,12.314,-2.414,0.0333,0.0333,0.5,0.0333
cheat_various_cheater_smart_0248.json,1,2025.054,66.584,1.439,67.5018,18.2828,67.485,34.939,108.707,4,3,4,30,0.9667,-0.4239,-1.0362,0.6764,0.3873,0.1862,1.314,-0.414,0.0,0.0,0.1333,0.1
cheat_various_pre_knowledge_0112.json,1,1278.923,37.052,2.186,42.6308,11.8636,43.1865,21.342,73.496,0,0,1,30,0.9,-1.1992,-1.8875,-0.4858,0.295,0.1195,-2.686,-3.414,0.1667,0.1333,0.0,0.0
normal_detailed_average_0265.json,0,3506.503,70.253,2.217,116.8834,58.3178,90.1425,59.853,238.227,0,7,3,30,0.4667,0.7623,-0.3663,1.5687,0.5468,-0.3138,-2.686,3.586,0.0,0.0,0.0,0.2333
cheat_various_cheater_tab_switcher_0498.json,1,2088.842,78.126,1.12,69.6281,14.1914,69.747,43.197,93.579,19,0,1,30,0.9667,-0.2001,-1.153,1.2852,0.6704,0.1862,16.314,-3.414,0.0,0.0,0.6333,0.0
